PlaceId,Address,City,State,Zip
mock_place_291,800 Grant St,Denver,CO,80203
mock_place_292,800 N Glebe Rd,Arlington,VA,22203
mock_place_293,800 W Olympic Blvd,Los Angeles,CA,90015
mock_place_294,800 N Capitol St,Washington,DC,20002
mock_place_295,800 Nicollet Mall,Minneapolis,MN,55402
mock_place_296,900 E Hamilton Ave,Campbell,CA,95008
mock_place_297,900 W Trade St,Charlotte,NC,28202
mock_place_298,900 E Market St,Louisville,KY,40206
mock_place_299,900 Congress Ave,Austin,TX,78701
mock_place_300,900 Biscayne Blvd,Miami,FL,33132
mock_place_301,1 Main St,New York,NY,10044
mock_place_302,1 Market St,San Francisco,CA,94105
mock_place_303,1 Federal St,Boston,MA,02110
mock_place_304,1 Lincoln Center,New York,NY,10023
mock_place_305,1 Faneuil Hall,Boston,MA,02109
mock_place_306,2 Wall St,New York,NY,10005
mock_place_307,2 Embarcadero Ctr,San Francisco,CA,94111
mock_place_308,2 Park Ave,New York,NY,10016
mock_place_309,2 Commonwealth Ave,Boston,MA,02116
mock_place_310,2 S Biscayne Blvd,Miami,FL,33131
mock_place_311,3 World Trade Center,New York,NY,10048
mock_place_312,3 Embarcadero Ctr,San Francisco,CA,94111
mock_place_313,3 Columbus Cir,New York,NY,10019
mock_place_314,3 Centerpointe Dr,Lake Oswego,OR,97035
mock_place_315,3 Bethesda Metro Center,Bethesda,MD,20814
mock_place_316,4 World Trade Center,New York,NY,10007
mock_place_317,4 Embarcadero Ctr,San Francisco,CA,94111
mock_place_318,4 Park Ave,New York,NY,10016
mock_place_319,4 Copley Pl,Boston,MA,02116
mock_place_320,4 Pennsylvania Plaza,New York,NY,10001
mock_place_321,5 Times Square,New York,NY,10036
mock_place_322,5 Embarcadero Ctr,San Francisco,CA,94111
mock_place_323,5 Bryant Park,New York,NY,10018
mock_place_324,5 Faneuil Hall,Boston,MA,02109
mock_place_325,5 N Wabash Ave,Chicago,IL,60602
mock_place_326,11 Broadway,New York,NY,10004
mock_place_327,11 Beacon St,Boston,MA,02108
mock_place_328,11 S LaSalle St,Chicago,IL,60603
mock_place_329,11 Greenway Plaza,Houston,TX,77046
mock_place_330,11 W 42nd St,New York,NY,10036
mock_place_331,22 Cortlandt St,New York,NY,10007
mock_place_332,22 W Monroe St,Chicago,IL,60603
mock_place_333,22 Battery St,San Francisco,CA,94111
mock_place_334,22 Thomson Pl,Boston,MA,02210
mock_place_335,22 E Washington St,Indianapolis,IN,46204
mock_place_336,33 Maiden Ln,San Francisco,CA,94108
mock_place_337,33 Liberty St,New York,NY,10045
mock_place_338,33 W Monroe St,Chicago,IL,60603
mock_place_339,33 Arch St,Boston,MA,02110
mock_place_340,33 Peachtree St,Atlanta,GA,30303
mock_place_341,44 Montgomery St,San Francisco,CA,94104
mock_place_342,44 Wall St,New York,NY,10005
mock_place_343,44 School St,Boston,MA,02108
mock_place_344,44 S Broadway,White Plains,NY,10601
mock_place_345,44 Tehama St,San Francisco,CA,94105
mock_place_346,55 Water St,New York,NY,10041
mock_place_347,55 2nd St,San Francisco,CA,94105
mock_place_348,55 E Monroe St,Chicago,IL,60603
mock_place_349,55 Fruit St,Boston,MA,02114
mock_place_350,55 Public Square,Cleveland,OH,44113
mock_place_351,66 Hudson Blvd,Jersey City,NJ,07302
mock_place_352,66 Bovet Rd,San Mateo,CA,94402
mock_place_353,66 Long Wharf,Boston,MA,02110
mock_place_354,66 S 6th St,Minneapolis,MN,55402
mock_place_355,66 E Wacker Pl,Chicago,IL,60601
mock_place_356,77 Water St,New York,NY,10005
mock_place_357,77 Beale St,San Francisco,CA,94105
mock_place_358,77 Summer St,Boston,MA,02110
mock_place_359,77 W Washington St,Chicago,IL,60602
mock_place_360,77 City Centre Dr,Mississauga,ON,L5B1M5
mock_place_361,88 Pine St,New York,NY,10005
mock_place_362,88 Kearny St,San Francisco,CA,94108
mock_place_363,88 Black Falcon Ave,Boston,MA,02210
mock_place_364,88 E Broad St,Columbus,OH,43215
mock_place_365,88 University Pl,Pittsburgh,PA,15260
mock_place_366,99 High St,Boston,MA,02110
mock_place_367,99 Hudson St,New York,NY,10013
mock_place_368,99 Bishopsgate,London,UK,EC2M3XD
mock_place_369,99 Almaden Blvd,San Jose,CA,95113
mock_place_370,99 Church St,New York,NY,10007
mock_place_371,250 W 57th St,New York,NY,10107
mock_place_372,250 Montgomery St,San Francisco,CA,94104
mock_place_373,250 E Broad St,Columbus,OH,43215
mock_place_374,250 Joralemon St,Brooklyn,NY,11201
mock_place_375,250 N Rock Rd,Wichita,KS,67206
mock_place_376,350 5th Ave,New York,NY,10118
mock_place_377,350 Mission St,San Francisco,CA,94105
mock_place_378,350 Massachusetts Ave,Cambridge,MA,02139
mock_place_379,350 S Grand Ave,Los Angeles,CA,90071
mock_place_380,350 E Cermak Rd,Chicago,IL,60616
mock_place_381,450 Lexington Ave,New York,NY,10017
mock_place_382,450 Golden Gate Ave,San Francisco,CA,94102
mock_place_383,450 N Cityfront Plaza Dr,Chicago,IL,60611
mock_place_384,450 E Las Olas Blvd,Fort Lauderdale,FL,33301
mock_place_385,450 W 33rd St,New York,NY,10001
mock_place_386,550 Madison Ave,New York,NY,10022
mock_place_387,550 S Hope St,Los Angeles,CA,90071
mock_place_388,550 Terry Francois Blvd,San Francisco,CA,94158
mock_place_389,550 Kearny St,San Francisco,CA,94108
mock_place_390,550 W Washington Blvd,Chicago,IL,60661
mock_place_391,650 California St,San Francisco,CA,94108
mock_place_392,650 5th Ave,New York,NY,10019
mock_place_393,650 Town Center Dr,Costa Mesa,CA,92626
mock_place_394,650 S Grand Ave,Los Angeles,CA,90017
mock_place_395,650 Capitol Mall,Sacramento,CA,95814
mock_place_396,750 7th Ave,New York,NY,10019
mock_place_397,750 Battery St,San Francisco,CA,94111
mock_place_398,750 N St Paul St,Dallas,TX,75201
mock_place_399,750 W John Carpenter Fwy,Irving,TX,75039
mock_place_400,750 E Pratt St,Baltimore,MD,21202
mock_place_401,850 3rd Ave,New York,NY,10022
mock_place_402,850 Montgomery St,San Francisco,CA,94133
mock_place_403,850 N Lake Shore Dr,Chicago,IL,60611
mock_place_404,850 Cherry Ave,San Bruno,CA,94066
mock_place_405,850 New Burton Rd,Dover,DE,19904
mock_place_406,950 3rd Ave,New York,NY,10022
mock_place_407,950 Tower Ln,Foster City,CA,94404
mock_place_408,950 W Bannock St,Boise,ID,83702
mock_place_409,950 N Meridian St,Indianapolis,IN,46204
mock_place_410,950 N Michigan Ave,Chicago,IL,60611
mock_place_411,12 E 49th St,New York,NY,10017
mock_place_412,12 S 12th St,Philadelphia,PA,19107
mock_place_413,12 Faneuil Hall,Boston,MA,02109
mock_place_414,12 Desbrosses St,New York,NY,10013
mock_place_415,12 S 1st St,San Jose,CA,95113
mock_place_416,23 Wall St,New York,NY,10005
mock_place_417,23 Geary St,San Francisco,CA,94108
mock_place_418,23 Main St,Hackensack,NJ,07601
mock_place_419,23 Milk St,Boston,MA,02109
mock_place_420,23 S Wabash Ave,Chicago,IL,60603
mock_place_421,34 E 51st St,New York,NY,10022
mock_place_422,34 Peachtree St,Atlanta,GA,30303
mock_place_423,34 Commerce St,Newark,NJ,07102
mock_place_424,34 Beacon St,Boston,MA,02108
mock_place_425,34 N Franklin St,Chicago,IL,60610
mock_place_426,45 Rockefeller Plaza,New York,NY,10111
mock_place_427,45 Fremont St,San Francisco,CA,94105
mock_place_428,45 Milk St,Boston,MA,02109
mock_place_429,45 W 45th St,New York,NY,10036
mock_place_430,45 S 7th St,Minneapolis,MN,55402
mock_place_431,56 Marietta St,Atlanta,GA,30303
mock_place_432,56 Pine St,New York,NY,10005
mock_place_433,56 Roland St,Boston,MA,02129
mock_place_434,56 W Randolph St,Chicago,IL,60601
mock_place_435,56 E San Fernando St,San Jose,CA,95113
mock_place_436,67 Wall St,New York,NY,10005
mock_place_437,67 Yesler Way,Seattle,WA,98104
mock_place_438,67 Market St,Waltham,MA,02451
mock_place_439,67 Broad St,Boston,MA,02109
mock_place_440,67 E Madison St,Chicago,IL,60603
mock_place_441,78 John St,New York,NY,10038
mock_place_442,78 SW 7th St,Miami,FL,33130
mock_place_443,78 Summer St,Boston,MA,02110
mock_place_444,78 Washington St,Hoboken,NJ,07030
mock_place_445,78 5th Ave,New York,NY,10011
mock_place_446,89 South St,New York,NY,10038
mock_place_447,89 Marion St,Seattle,WA,98104
mock_place_448,89 Broad St,Boston,MA,02110
mock_place_449,89 E Madison St,Chicago,IL,60602
mock_place_450,89 Headquarters Plaza,Morristown,NJ,07960
mock_place_451,4444 N Central Expy,Dallas,TX,75205
mock_place_452,4444 Geary Blvd,San Francisco,CA,94118
mock_place_453,4444 W Sunset Blvd,Los Angeles,CA,90029
mock_place_454,4444 E Camelback Rd,Phoenix,AZ,85018
mock_place_455,4444 S 27th St,Milwaukee,WI,53221
mock_place_456,5555 Morningside Dr,Houston,TX,77005
mock_place_457,5555 N Lamar Blvd,Austin,TX,78751
mock_place_458,5555 DTC Pkwy,Greenwood Village,CO,80111
mock_place_459,5555 Glenridge Connector,Atlanta,GA,30342
mock_place_460,5555 Wisconsin Ave,Chevy Chase,MD,20815
mock_place_461,6666 Odana Rd,Madison,WI,53719
mock_place_462,6666 SW Fwy,Houston,TX,77074
mock_place_463,6666 E Hampden Ave,Denver,CO,80224
mock_place_464,6666 Baltimore National Pike,Baltimore,MD,21228
mock_place_465,6666 Arlington Blvd,Falls Church,VA,22042
mock_place_466,7777 Bonhomme Ave,Clayton,MO,63105
mock_place_467,7777 Leesburg Pike,Falls Church,VA,22043
mock_place_468,7777 Forest Ln,Dallas,TX,75230
mock_place_469,7777 E Hampden Ave,Denver,CO,80231
mock_place_470,7777 Greenback Ln,Citrus Heights,CA,95610
mock_place_471,8888 Keystone Crossing,Indianapolis,IN,46240
mock_place_472,8888 University Blvd,Moon Township,PA,15108
mock_place_473,8888 Georgia Ave,Silver Spring,MD,20910
mock_place_474,8888 N Stemmons Fwy,Dallas,TX,75247
mock_place_475,8888 Clairemont Mesa Blvd,San Diego,CA,92123
mock_place_476,9999 Bellaire Blvd,Houston,TX,77036
mock_place_477,9999 S Eastern Ave,Las Vegas,NV,89183
mock_place_478,9999 Wilshire Blvd,Beverly Hills,CA,90210
mock_place_479,9999 N Capital of Texas Hwy,Austin,TX,78759
mock_place_480,9999 SW Freeway,Houston,TX,77074
